GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Formwork — SmsChannel,one.formwork.channel.sms.api,SmsChannelProperties,0,85,0,0,0,22,0,15,0,15
Formwork — SmsChannel,one.formwork.channel.sms.api,SmsMessage,0,26,0,0,0,3,0,2,0,2
Formwork — SmsChannel,one.formwork.channel.sms.api,SmsChannelProperties.TwilioProperties,0,24,0,0,0,4,0,7,0,7
Formwork — SmsChannel,one.formwork.channel.sms.api,SmsChannelProperties.RetryProperties,0,24,0,0,0,7,0,5,0,5
Formwork — SmsChannel,one.formwork.channel.sms.api,DeliveryStatus,0,33,0,0,0,2,0,1,0,1
Formwork — SmsChannel,one.formwork.channel.sms.api,TenantSmsProviderRegistry,28,0,0,0,7,0,4,0,4,0
Formwork — SmsChannel,one.formwork.channel.sms.api,SmsChannelProperties.MessageBirdProperties,0,17,0,0,0,3,0,5,0,5
Formwork — SmsChannel,one.formwork.channel.sms.api,SmsResult,0,62,0,6,0,4,0,7,0,4
Formwork — SmsChannel,one.formwork.channel.sms.api,SmsChannelProperties.VonageProperties,0,24,0,0,0,4,0,7,0,7
Formwork — SmsChannel,one.formwork.channel.sms.api,SmsChannelProperties.AwsSnsProperties,0,34,0,0,0,10,0,9,0,9
Formwork — SmsChannel,one.formwork.channel.sms.api,SmsChannelService,5,209,1,13,3,43,1,16,0,10
Formwork — SmsChannel,one.formwork.channel.sms.api,SmsChannelProperties.BudgetSmsProperties,0,24,0,0,0,4,0,7,0,7
Formwork — SmsChannel,one.formwork.channel.sms.config,SmsFlywayAutoConfiguration,7,0,0,0,2,0,2,0,2,0
Formwork — SmsChannel,one.formwork.channel.sms.config,SmsChannelAutoConfiguration,12,33,0,0,2,6,2,6,2,6
Formwork — SmsChannel,one.formwork.channel.sms.cost,SmsCostService.ProviderCostSummary,0,12,0,0,0,1,0,1,0,1
Formwork — SmsChannel,one.formwork.channel.sms.cost,ProviderRateRegistry,2,121,1,3,0,20,1,7,0,6
Formwork — SmsChannel,one.formwork.channel.sms.cost,SmsCostService,7,305,0,42,1,54,1,28,1,7
Formwork — SmsChannel,one.formwork.channel.sms.cost,SmsCostEntity,0,75,0,2,0,22,0,21,0,20
Formwork — SmsChannel,one.formwork.base.tenant.flyway,FlywayModuleSupport,16,0,0,0,5,0,2,0,2,0
Formwork — SmsChannel,one.formwork.channel.sms.validation,PhoneNumberValidator.InvalidPhoneNumberException,0,4,0,0,0,1,0,1,0,1
Formwork — SmsChannel,one.formwork.channel.sms.validation,PhoneNumberValidator,0,18,0,4,0,4,0,4,0,2
Formwork — SmsChannel,one.formwork.channel.sms.provider,AwsSnsSmsGateway,48,380,8,16,11,82,8,18,0,14
Formwork — SmsChannel,one.formwork.channel.sms.provider,MessageBirdSmsGateway,18,95,1,1,3,27,1,5,0,5
Formwork — SmsChannel,one.formwork.channel.sms.provider,VonageSmsGateway,18,156,2,8,5,46,2,9,0,6
Formwork — SmsChannel,one.formwork.channel.sms.provider,BudgetSmsGateway,18,110,2,4,3,26,2,6,0,5
Formwork — SmsChannel,one.formwork.channel.sms.provider,TwilioSmsGateway,1,144,3,3,0,35,3,6,0,6
Formwork — SmsChannel,one.formwork.base.tenant.filter,TenantScopedEntity,0,24,0,2,0,8,0,7,0,6
Formwork — SmsChannel,one.formwork.base.tenant.config,TenantBaseAutoConfiguration,3,0,0,0,1,0,1,0,1,0
